PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,-2.12,-10.37,0,0,0,0
2,0,0,0,-2.12,-9.37,0,0,0,0
3,0,0,0,-2.11,-8.37,0,0,0,0
4,0,0,0,-2.11,-7.37,0,0,0,0
5,0,0,0,-2.11,-6.37,0,0,0,0
6,0,0,0,-2.11,-5.37,0,0,0,0
7,0,0,0,-2.1,-4.37,0,0,0,0
8,0,0,0,-2.1,-3.37,0,0,0,0
9,0,0,0,-2.1,-2.37,0,0,0,0
10,0,0,0,-2.09,-1.37,0,0,0,0
11,0,0,0,-2.09,-0.37,0,0,0,0
12,0,0,0,-2.09,0.63,0,0,0,0
13,0,0,0,-2.09,1.63,0,0,0,0
14,0,0,0,-2.08,2.63,0,0,0,0
15,0,0,0,-2.08,3.63,0,0,0,0
16,0,0,0,-2.08,4.63,0,0,0,0
17,0,0,0,-2.07,5.63,0,0,0,0
18,0,0,0,-2.07,6.63,0,0,0,0
19,0,0,0,-2.07,7.63,0,0,0,0
20,0,0,0,-2.07,8.63,0,0,0,0
21,0,0,0,-2.06,9.63,0,0,0,0
22,0,0,0,-2.06,10.63,0,0,0,0
23,0,0,0,-2.06,11.63,0,0,0,0
24,0,0,0,-2.05,12.63,0,0,0,0
25,0,0,0,-2.05,13.63,0,0,0,0
26,0,0,0,-2.05,14.63,0,0,0,0
27,0,0,0,-2.05,15.63,0,0,0,0
28,0,0,0,-2.04,16.63,0,0,0,0
29,0,0,0,-2.04,17.63,0,0,0,0
30,0,0,0,-2.04,18.63,0,0,0,0
31,0,0,0,-2.03,19.63,0,0,0,0
32,0,0,0,-2.03,20.63,0,0,0,0
33,0,0,0,-2.03,21.63,0,0,0,0
34,0,0,0,-2.03,22.63,0,0,0,0
35,0,0,0,-2.02,23.63,0,0,0,0
36,0,0,0,-2.02,24.63,0,0,0,0
37,0,0,0,-2.02,25.63,0,0,0,0
38,0,0,0,-2.01,26.63,0,0,0,0
39,0,0,0,-2.01,27.63,0,0,0,0
40,0,0,0,-2.01,28.63,0,0,0,0
41,0,0,0,-2.01,29.63,0,0,0,0
42,0,0,0,-2,30.63,0,0,0,0
43,0,0,0,-2,31.63,0,0,0,0
44,0,0,0,-2,32.63,0,0,0,0
45,0,0,0,-2,33.63,0,0,0,0
46,0,0,0,-1.99,34.63,0,0,0,0
47,0,0,0,-1.99,35.63,0,0,0,0
48,0,0,0,-1.99,36.63,0,0,0,0
49,0,0,0,-1.98,37.63,0,0,0,0
50,0,0,0,-1.98,38.63,0,0,0,0
51,0,0,0,-1.98,39.63,0,0,0,0
52,0,0,0,-1.98,40.63,0,0,0,0
53,0,0,0,-1.97,41.63,0,0,0,0
54,0,0,0,-1.97,42.63,0,0,0,0
55,0,0,0,-1.97,43.63,0,0,0,0
56,0,0,0,-1.96,44.63,0,0,0,0
57,0,0,0,-1.96,45.63,0,0,0,0
58,0,0,0,-1.96,46.63,0,0,0,0
59,0,0,0,-1.96,47.63,0,0,0,0
60,0,0,0,-1.95,48.63,0,0,0,0
61,0,0,0,-1.95,49.63,0,0,0,0
62,0,0,0,-1.95,50.63,0,0,0,0
63,0,0,0,-1.94,51.63,0,0,0,0
64,0,0,0,-1.94,52.63,0,0,0,0
65,0,0,0,-1.94,53.63,0,0,0,0
66,0,0,0,-1.94,54.63,0,0,0,0
67,0,0,0,-1.93,55.63,0,0,0,0
68,0,0,0,-1.93,56.63,0,0,0,0
69,0,0,0,-1.93,57.63,0,0,0,0
70,0,0,0,-1.92,58.63,0,0,0,0
71,0,0,0,-1.92,59.63,0,0,0,0
72,0,0,0,-1.92,60.63,0,0,0,0
73,0,0,0,-1.92,61.63,0,0,0,0
74,0,0,0,-1.91,62.63,0,0,0,0
75,0,0,0,-1.91,63.63,0,0,0,0
76,0,0,0,-1.91,64.63,0,0,0,0
77,0,0,0,-1.9,65.63,0,0,0,0
78,0,0,0,-1.9,66.63,0,0,0,0
79,0,0,0,-1.9,67.63,0,0,0,0
80,0,0,0,-1.9,68.63,0,0,0,0
81,0,0,0,-1.89,69.63,0,0,0,0
82,0,0,0,-1.89,70.63,0,0,0,0
83,0,0,0,-1.89,71.63,0,0,0,0
84,0,0,0,-1.88,72.63,0,0,0,0
85,0,0,0,-1.88,73.63,0,0,0,0
