LID,BPID,FPID,BLID,FLID
1,56,57,0,2
2,57,58,1,3
3,58,59,2,4
4,59,60,3,0
5,61,62,0,6
6,62,63,5,7
7,63,64,6,0
8,65,66,0,9
9,66,67,8,0
11,68,69,0,12
12,69,70,11,13
13,70,71,12,14
14,71,72,13,15
15,72,73,14,16
16,73,74,15,17
17,74,75,16,0
18,76,77,0,19
19,77,78,18,20
20,78,79,19,21
21,79,80,20,22
22,80,81,21,23
23,81,82,22,24
24,82,83,23,25
25,83,84,24,26
26,84,85,25,27
27,85,86,26,28
28,86,87,27,29
29,87,88,28,30
30,88,89,29,31
31,89,90,30,32
32,90,91,31,33
33,91,92,32,0
34,93,94,0,35
35,94,95,34,36
36,95,96,35,37
37,96,97,36,38
38,97,98,37,39
39,98,99,38,40
40,99,100,39,41
41,100,101,40,42
42,101,102,41,43
43,102,103,42,44
44,103,104,43,45
45,104,105,44,46
46,105,106,45,0
47,107,108,0,48
48,108,109,47,50
50,109,112,48,51
51,112,113,50,52
52,113,114,51,53
53,114,115,52,0
54,116,117,0,55
55,117,118,54,56
56,118,119,55,57
57,119,120,56,58
58,120,121,57,0
59,122,123,0,60
60,123,124,59,61
61,124,125,60,62
62,125,126,61,63
63,126,127,62,64
64,127,128,63,65
65,128,129,64,66
66,129,130,65,0
67,131,132,0,68
68,132,133,67,69
69,133,134,68,70
70,134,135,69,71
71,135,136,70,72
72,136,137,71,0
73,138,139,0,82
75,142,143,0,0
76,144,145,0,0
78,148,149,0,79
79,149,150,78,0
81,153,154,0,0
82,139,155,73,83
83,155,156,82,0
84,157,158,0,0
86,160,161,0,0
87,162,163,0,0
89,164,165,0,0
91,166,167,0,0
92,168,169,0,0
94,171,170,0,0
101,178,179,0,102
102,179,180,101,103
103,180,54754,102,19993
104,181,182,0,105
105,182,183,104,106
106,183,54752,105,19991
19991,54752,54753,106,19992
19992,54753,181,19991,0
19993,54754,178,103,0
19998,54759,54760,0,19999
19999,54760,54761,19998,20000
20000,54761,54762,19999,20001
20001,54762,54759,20000,0
20002,54763,54764,0,20003
20003,54764,54765,20002,20004
20004,54765,54766,20003,20005
20005,54766,54763,20004,0
20006,54767,54768,0,20007
20007,54768,54769,20006,20008
20008,54769,54770,20007,20009
20009,54770,54767,20008,0
20010,54771,54772,0,20011
20011,54772,54773,20010,20012
20012,54773,54774,20011,20013
20013,54774,54771,20012,0
20017,54778,54779,0,20018
20018,54779,54780,20017,20019
20019,54780,54781,20018,20020
20020,54781,54778,20019,0
20021,54782,54783,0,20022
20022,54783,54784,20021,20023
20023,54784,54785,20022,20024
20024,54785,54782,20023,0
20025,54786,54787,0,20026
20026,54787,54788,20025,20027
20027,54788,54789,20026,20028
20028,54789,54786,20027,0
20029,54790,54791,0,20030
20030,54791,54792,20029,20031
20031,54792,54793,20030,20032
20032,54793,54790,20031,0
20033,54794,54795,0,0
20035,55149,55150,0,0
20039,55154,55155,0,20040
20040,55155,55156,20039,20041
20041,55156,55157,20040,20042
20042,55157,55158,20041,20043
20043,55158,55159,20042,20044
20044,55159,55160,20043,20045
20045,55160,55161,20044,20046
20046,55161,55162,20045,20047
20047,55162,55163,20046,20048
20048,55163,55154,20047,0
20049,55164,55165,0,20050
20050,55165,55166,20049,20051
20051,55166,55167,20050,20052
20052,55167,55168,20051,20053
20053,55168,55169,20052,20054
20054,55169,55170,20053,20055
20055,55170,55171,20054,20056
20056,55171,55172,20055,20057
20057,55172,55173,20056,20058
20058,55173,55174,20057,20059
20059,55174,55175,20058,20060
20060,55175,55176,20059,20061
20061,55176,55177,20060,20062
20062,55177,55178,20061,20063
20063,55178,55179,20062,20064
20064,55179,55180,20063,20065
20065,55180,55181,20064,20066
20066,55181,55164,20065,0
20067,55182,55183,0,20068
20068,55183,55184,20067,20069
20069,55184,55185,20068,20070
20070,55185,55186,20069,20071
20071,55186,55187,20070,20072
20072,55187,55188,20071,20073
20073,55188,55189,20072,20074
20074,55189,55190,20073,20075
20075,55190,55191,20074,20076
20076,55191,55192,20075,20077
20077,55192,55193,20076,20078
20078,55193,55194,20077,20079
20079,55194,55195,20078,20080
20080,55195,55182,20079,0
20081,55196,55197,0,20082
20082,55197,55198,20081,20083
20083,55198,55199,20082,20084
20084,55199,55200,20083,20085
20085,55200,55201,20084,20086
20086,55201,55202,20085,20087
20087,55202,55203,20086,20088
20088,55203,55204,20087,20089
20089,55204,55196,20088,0
20090,55205,55206,0,20091
20091,55206,55207,20090,20092
20092,55207,55208,20091,20093
20093,55208,55209,20092,20094
20094,55209,55205,20093,0
20095,55210,55211,0,20096
20096,55211,55212,20095,20097
20097,55212,55213,20096,20098
20098,55213,55214,20097,20099
20099,55214,55210,20098,0
