PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
3,33.0000479,129.2959556,0,14.769,-11.53,1,4929,43,9
4,33.0000477,129.2959273,0,14.695,-18.882,1,4929,43,9
5,33.0000122,129.3000341,0,3.743,8.859,1,4929,44,0
6,32.5959882,129.2959883,0,-3.632,-3.045,1,4929,33,99
7,32.5959503,129.2959564,0,-15.321,-11.327,1,4929,33,99
8,32.5959501,129.2959281,0,-15.365,-18.659,1,4929,33,99
9,32.5959883,129.3000799,0,-3.59,20.749,1,4929,34,90
10,33.0000121,129.3001035,0,3.72,26.857,1,4929,44,0
11,33.0000118,129.3001585,0,3.624,41.14,1,4929,44,0
12,32.5959887,129.3001579,0,-3.494,40.996,1,4929,34,90
13,33.000097,129.3004075,0,29.894,105.77,1,4929,44,0
14,33.0000491,129.3004078,0,15.132,105.85,1,4929,44,0
15,32.595989,129.3004078,0,-3.382,105.85,1,4929,34,90
16,32.5959512,129.3004081,0,-15.032,105.93,1,4929,34,90
17,32.5959033,129.3004087,1.367,-29.795,106.089,1,4929,34,90
18,33.0000485,129.300158,0,14.926,41.02,1,4929,44,0
19,32.5959023,129.3001584,0,-30.093,41.108,1,4929,34,90
20,32.5959026,129.300187,0,-30.013,48.53,1,4929,34,90
22,32.5958431,129.300338,0,-48.327,87.726,1,4929,34,90
23,32.5958671,129.3003378,0,-40.951,87.683,1,4929,34,90
25,32.5958667,129.3002556,0,-41.076,66.34,1,4929,34,90
26,32.5958431,129.3002554,0,-48.322,66.297,1,4929,34,90
27,32.5958661,129.3000942,0,-41.238,24.451,1,4929,34,90
28,32.5958423,129.3000945,0,-48.57,24.537,1,4929,34,90
29,32.5958662,129.3000187,0,-41.209,4.859,1,4929,34,90
30,32.5958422,129.3000186,0,-48.603,4.822,1,4929,34,90
31,32.5959022,129.2959567,0,-30.13,-11.248,1,4929,33,99
32,32.595902,129.2959284,0,-30.184,-18.587,1,4929,33,99
33,33.0000126,129.300347,0,3.882,90.072,1,4929,44,0
34,32.5959886,129.3003225,0,-3.499,83.701,1,4929,34,90
35,33.0000126,129.3002724,0,3.892,70.707,1,4929,44,0
36,33.0000484,129.3001866,0,14.901,48.44,1,4929,44,0
37,33.0000966,129.3001863,0,29.762,48.362,1,4929,44,0
38,33.0000969,129.3001574,0,29.836,40.867,1,4929,44,0
39,33.0000956,129.2959272,0,29.454,-18.891,1,4929,43,9
40,33.000096,129.2959554,0,29.581,-11.577,1,4929,43,9
41,33.0001335,129.3000172,0,41.128,4.461,1,4929,44,0
42,33.0001575,129.3000172,0,48.511,4.461,1,4929,44,0
43,33.0001578,129.300093,0,48.596,24.15,1,4929,44,0
44,33.0001339,129.3000934,0,41.238,24.246,1,4929,44,0
45,33.0001583,129.3003368,0,48.748,87.41,1,4929,44,0
46,33.0001345,129.3003368,0,41.438,87.41,1,4929,44,0
47,33.0001583,129.3002544,0,48.763,66.034,1,4929,44,0
48,33.0001343,129.3002543,0,41.365,65.995,1,4929,44,0
49,32.5959883,129.3002225,0,-3.617,57.741,1,4929,34,90
50,32.5959886,129.3001863,0,-3.521,48.363,1,4929,34,90
51,32.5959509,129.3001869,0,-15.111,48.508,1,4929,34,90
52,32.5959509,129.300158,0,-15.132,41.016,1,4929,34,90
53,33.0000112,129.2959279,0,3.452,-18.719,1,4929,43,9
54,33.0000118,129.2959559,0,3.644,-11.457,1,4929,43,9
55,32.5959879,129.295956,0,-3.714,-11.409,1,4929,33,99
56,33.0001575,129.3000151,0,48.52,3.916,1,4929,44,0
57,33.0001579,129.3000927,0,48.636,24.051,1,4929,44,0
58,33.0001584,129.3001554,0,48.789,40.344,1,4929,44,0
59,33.0001599,129.3001569,0,49.26,40.729,1,4929,44,0
60,33.0002634,129.3001569,0,81.124,40.714,1,4929,44,0
61,33.0002762,129.2959536,0,85.074,-12.039,1,4929,43,9
62,33.0002038,129.295955,0,62.785,-11.671,1,4929,43,9
63,33.0001576,129.2959547,0,48.552,-11.746,1,4929,43,9
64,33.0001577,129.3000176,0.224,48.568,4.572,1,4929,44,0
65,33.0001335,129.2959267,0.16,41.114,-19.026,1,4929,43,9
66,33.0000958,129.2959275,0.24,29.496,-18.83,1,4929,43,9
67,33.0000112,129.2959279,0.32,3.445,-18.719,1,4929,43,9
68,32.5959873,129.2959276,0,-3.899,-18.783,1,4929,33,99
69,32.5959498,129.2959282,0,-15.456,-18.625,1,4929,33,99
70,32.5959025,129.2959288,0,-30.027,-18.488,1,4929,33,99
71,32.5958693,129.2959288,0,-40.267,-18.488,1,4929,33,99
72,32.5958654,129.2959264,0,-41.474,-19.103,1,4929,33,99
73,32.5958654,129.2959029,0,-41.463,-25.216,1,4929,33,99
74,32.5958655,129.2958656,0,-41.424,-34.885,1,4929,33,99
75,32.5958656,129.2958284,0,-41.385,-44.554,1,4929,33,99
76,33.0000121,129.3001288,0,3.742,33.435,1,4929,44,0
77,33.0000121,129.3001037,0,3.715,26.912,1,4929,44,0
78,33.000012,129.3000333,0,3.697,8.643,1,4929,44,0
79,33.0000116,129.295958,0,3.562,-10.903,1,4929,43,9
80,33.0000128,129.2959558,0,3.939,-11.467,1,4929,43,9
81,33.0000493,129.2959553,0,15.178,-11.59,1,4929,43,9
82,33.0000956,129.2959555,0,29.463,-11.561,1,4929,43,9
83,33.0001311,129.2959551,0,40.376,-11.646,1,4929,43,9
84,33.000133,129.2959567,0,40.958,-11.229,1,4929,43,9
85,33.0001336,129.3000175,0.404,41.149,4.55,1,4929,44,0
86,33.0001338,129.3000933,0.404,41.208,24.205,1,4929,44,0
87,33.0001348,129.3001557,0.404,41.521,40.416,1,4929,44,0
88,33.0001326,129.3001572,0.404,40.841,40.812,1,4929,44,0
89,33.0000967,129.3001574,0.404,29.775,40.849,1,4929,44,0
90,33.0000485,129.3001579,0,14.928,40.985,1,4929,44,0
91,33.0000116,129.3001584,0,3.583,41.115,1,4929,44,0
92,33.0000121,129.3001288,0,3.737,33.443,1,4929,44,0
93,32.595988,129.2959562,0,-3.684,-11.372,1,4929,33,99
94,32.5959881,129.2959882,0,-3.672,-3.062,1,4929,33,99
95,32.5959883,129.3000798,0,-3.603,20.719,1,4929,34,90
96,32.5959888,129.3001579,0,-3.458,40.98,1,4929,34,90
97,32.5959507,129.3001579,0,-15.173,40.992,1,4929,34,90
98,32.5958672,129.3001579,0,-40.92,40.98,1,4929,34,90
99,32.5958651,129.3001557,0,-41.565,40.423,1,4929,34,90
100,32.5958661,129.3000942,0,-41.234,24.458,1,4929,34,90
101,32.5958662,129.3000184,0,-41.203,4.776,1,4929,34,90
102,32.5958656,129.2959603,0,-41.4,-10.293,1,4929,33,99
103,32.595867,129.2959571,0,-40.964,-11.131,1,4929,33,99
104,32.5959018,129.2959565,0,-30.245,-11.286,1,4929,33,99
105,32.5959506,129.2959569,0,-15.219,-11.197,1,4929,33,99
106,32.595988,129.2959562,0.117,-3.695,-11.367,1,4929,33,99
107,33.0002638,129.3001856,0,81.246,48.184,1,4929,44,0
108,33.0002045,129.3001857,0,62.988,48.2,1,4929,44,0
109,33.0001608,129.3001853,0,49.522,48.103,1,4929,44,0
112,33.0001585,129.300188,0,48.817,48.786,1,4929,44,0
113,33.0001587,129.3002542,0,48.873,65.983,1,4929,44,0
114,33.0001588,129.3003457,0,48.929,89.74,1,4929,44,0
115,33.0001584,129.300397,0,48.808,103.036,1,4929,44,0
116,32.5959882,129.3001863,0,-3.629,48.355,1,4929,34,90
117,32.5959883,129.3004073,0,-3.589,105.724,1,4929,34,90
118,32.5958678,129.3004085,0,-40.712,106.028,1,4929,34,90
119,32.5958668,129.3003381,0,-41.025,87.77,1,4929,34,90
