PLID,VID,Length,Dim
2,2,6,0.15
3,3,6,0.15
4,4,6,0.15
5,5,6,0.15
6,6,6,0.15
7,7,6,0.15
8,8,8.5,0.15
9,9,8.5,0.15
10,10,6,0.15
11,11,6,0.15
12,12,8.5,0.15
13,13,8.5,0.15
14,14,8.5,0.15
15,15,8.5,0.15
16,16,8.5,0.15
17,17,8.5,0.15
18,18,8.5,0.15
19,19,8.5,0.15
21,21,8.5,0.15
22,22,8.5,0.15
24,24,8.5,0.15
25,25,8.5,0.15
26,26,8.5,0.15
27,27,8.5,0.15
28,28,8.5,0.15
29,29,8.5,0.15
30,30,8,0.15
31,31,6,0.15
32,32,8.5,0.15
33,33,8.5,0.15
34,34,8.5,0.15
35,35,8.5,0.15
36,36,8.5,0.15
37,37,8.5,0.15
38,38,8.5,0.15
39,39,8.5,0.15
40,40,8.5,0.15
41,41,8.5,0.15
42,42,8.5,0.15
43,43,8.5,0.15
44,44,8.5,0.15
45,45,8.5,0.15
46,46,8.5,0.15
47,47,8.5,0.15
48,48,8.5,0.15
49,49,6,0.15
50,50,8.5,0.15
51,51,8.5,0.15
52,52,8.5,0.1
53,53,6,0.1
54,54,6,0.15
